# PLASTIC,PAPER,CARDBOARD,BEVERAGE_CARTON,GLASS,METAL,ORGANIC,TEXTILE,BATTERY,ELECTRONIC,RESIDUAL
374,58,75,2,44,174,11,49,11,0,123
23,276,53,0,0,14,0,22,6,0,106
11,115,135,1,2,23,0,15,5,0,154
0,0,0,0,0,0,0,0,0,0,0
87,39,17,0,131,42,1,9,2,0,92
43,21,23,0,27,535,1,39,12,0,89
130,54,101,7,84,126,255,55,1,0,34
22,41,14,0,2,18,6,185,0,0,30
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
61,59,56,1,12,77,20,102,10,0,97
