# PLASTIC,PAPER,CARDBOARD,BEVERAGE_CARTON,GLASS,METAL,ORGANIC,TEXTILE,BATTERY,ELECTRONIC,RESIDUAL
480,55,43,0,54,138,30,61,30,0,30
27,353,51,0,0,11,0,18,23,0,17
73,135,149,0,0,23,1,15,21,0,44
0,0,0,0,0,0,0,0,0,0,0
84,52,16,0,157,63,3,18,8,0,19
58,13,41,0,9,569,3,29,43,0,25
94,92,60,3,55,14,453,59,4,0,13
11,29,30,0,0,9,6,229,2,0,2
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
39,78,76,0,6,41,71,132,38,0,14
