# PLASTIC,PAPER,CARDBOARD,BEVERAGE_CARTON,GLASS,METAL,ORGANIC,TEXTILE,BATTERY,ELECTRONIC,RESIDUAL
422,43,77,0,67,149,35,79,24,0,25
49,286,49,1,2,16,3,44,15,0,35
41,115,174,0,1,33,5,24,16,0,52
0,0,0,0,0,0,0,0,0,0,0
105,33,21,0,151,40,5,38,5,0,22
86,13,27,0,27,490,10,92,30,0,15
137,39,76,5,49,12,401,103,2,0,23
14,26,19,0,3,7,14,223,1,0,11
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
70,62,46,0,15,42,57,133,24,0,46
