# PLASTIC,PAPER,CARDBOARD,BEVERAGE_CARTON,GLASS,METAL,ORGANIC,TEXTILE,BATTERY,ELECTRONIC,RESIDUAL
452,35,134,2,51,171,4,28,0,0,44
53,194,107,0,2,8,0,65,0,0,71
37,103,208,1,3,26,0,16,0,0,67
0,0,0,0,0,0,0,0,0,0,0
133,43,22,0,121,55,1,5,0,0,40
83,21,41,0,36,495,3,65,0,0,46
265,67,20,6,100,140,124,44,0,0,81
32,20,24,0,4,24,15,185,0,0,14
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
107,41,63,0,24,74,13,86,0,0,87
