# PLASTIC,PAPER,CARDBOARD,BEVERAGE_CARTON,GLASS,METAL,ORGANIC,TEXTILE,BATTERY,ELECTRONIC,RESIDUAL
405,16,53,0,50,126,31,57,14,0,169
30,251,44,0,0,9,0,21,7,0,138
18,98,146,0,2,23,5,13,7,0,149
0,0,0,0,0,0,0,0,0,0,0
94,21,7,0,117,44,2,16,3,0,116
67,9,15,0,23,463,3,67,23,0,120
142,25,43,9,89,43,270,94,0,0,132
14,39,6,0,2,8,4,186,0,0,59
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
59,48,22,0,11,39,45,96,13,0,162
